Column,IRI,label,qid
281,obo.CL_0000488,visible light photoreceptor cell,
282,obo.CL_0000489,scotopic photoreceptor cell,
283,obo.CL_0000494,UV sensitive photoreceptor cell,
284,obo.CL_0000602,pressoreceptor cell,
285,obo.CL_0002374,ear hair cell,
286,obo.CL_0000856,neuromast hair cell,
287,obo.CL_1001436,hair-tylotrich neuron,
288,obo.CL_1001437,hair-down neuron,
289,obo.CL_0000847,ciliated olfactory receptor neuron,
290,obo.CL_0000848,microvillous olfactory receptor neuron,
291,obo.CL_0000849,crypt olfactory receptor neuron,
292,obo.CL_0000636,Mueller cell,
293,obo.CL_0000644,Bergmann glial cell,
296,obo.CL_0002603,astrocyte of the cerebellum,
297,obo.CL_0012000,astrocyte of the forebrain,
298,obo.CL_0002606,astrocyte of the spinal cord,
299,obo.CL_0002626,immature astrocyte,
300,obo.CL_0002627,mature astrocyte,
301,obo.CL_2000025,spinal cord oligodendrocyte,
302,obo.CL_0000692,terminal Schwann cell,
303,obo.CL_0000687,R1 photoreceptor cell,
304,obo.CL_0000690,R2 photoreceptor cell,
305,obo.CL_0000694,R3 photoreceptor cell,
306,obo.CL_0000697,R4 photoreceptor cell,
307,obo.CL_0000702,R5 photoreceptor cell,
308,obo.CL_0000705,R6 photoreceptor cell,
309,obo.CL_0000707,R7 photoreceptor cell,
310,obo.CL_0000709,R8 photoreceptor cell,
311,obo.CL_2000019,compound eye photoreceptor cell,
312,obo.CL_0000490,photopic photoreceptor cell,
314,obo.CL_0002450,tether cell,
315,obo.CL_2000034,anterior lateral line neuromast hair cell,
316,obo.CL_2000037,posterior lateral line neuromast hair cell,
318,obo.CL_0000495,blue sensitive photoreceptor cell,
319,obo.CL_0000496,green sensitive photoreceptor cell,
320,obo.CL_0000497,red sensitive photoreceptor cell,
321,obo.CL_0002069,type II vestibular sensory cell,
322,obo.CL_0002070,type I vestibular sensory cell,
