Column,doid,label,disorder_qid,subclass_of,subclass_of_qid
189,obo.DOID_5221,chronic polyneuropathy,Q18556683,polyneuropathy,Q1502312
190,obo.DOID_12169,carpal tunnel syndrome,Q332293,nerve compression syndrome,Q1978084
193,obo.DOID_0050566,X-linked nonsyndromic deafness,Q18553311,nonsyndromic deafness,Q9079046
194,obo.DOID_0070310,drug-induced hearing loss,Q60195183,nonsyndromic deafness,Q9079046
196,obo.DOID_3426,vestibular disease,Q16678483,inner ear disease,Q18555242
197,obo.DOID_0080193,Superior canal dehiscence,Q685200,inner ear disease,Q18555242
198,obo.DOID_10003,sensorineural hearing loss,Q928697,inner ear disease,Q18555242
200,obo.DOID_566,labyrinthine dysfunction,Q18556927,inner ear disease,Q18555242
202,obo.DOID_2951,motion sickness,Q309067,inner ear disease,Q18555242
203,obo.DOID_5463,cochlear disease,Q18556797,inner ear disease,Q18555242
205,obo.DOID_5782,tympanic membrane disease,Q18557008,middle ear disease,Q18556619
206,obo.DOID_7439,otic polyp,Q7108724,middle ear disease,Q18556619
207,obo.DOID_12657,vestibulocochlear nerve disease,Q18554357,retrocochlear disease,Q18555231
208,obo.DOID_9463,otitis externa,Q680873,external ear disease,Q18556075
210,obo.DOID_0060252,sclerocornea,Q7434154,corneal disease,Q18553785
212,obo.DOID_0060305,megalocornea,Q4286595,corneal disease,Q18553785
213,obo.DOID_2566,corneal dystrophy,Q2044949,corneal disease,Q18553785
214,obo.DOID_0060673,Peters anomaly,Q28024492,corneal disease,Q18553785
215,obo.DOID_4677,keratitis,Q757838,corneal disease,Q18553785
216,obo.DOID_0111548,ring dermoid of cornea,Q55781456,corneal disease,Q18553785
217,obo.DOID_10126,keratoconus,Q611984,corneal disease,Q18553785
218,obo.DOID_11028,pseudopterygium,Q2115771,corneal disease,Q18553785
219,obo.DOID_11030,corneal edema,Q18553993,corneal disease,Q18553785
220,obo.DOID_11547,corneal deposit,Q18554103,corneal disease,Q18553785
221,obo.DOID_11552,Bowman's membrane folds or rupture,Q18554105,corneal disease,Q18553785
222,obo.DOID_12753,corneal staphyloma,Q18554370,corneal disease,Q18553785
223,obo.DOID_13447,corneal argyrosis,Q18554517,corneal disease,Q18553785
224,obo.DOID_1436,corneal ectasia,Q18554748,corneal disease,Q18553785
225,obo.DOID_2283,keratopathy,Q18971540,corneal disease,Q18553785
226,obo.DOID_0050304,aniseikonia,Q548913,refractive error,Q470427
227,obo.DOID_11782,astigmatism,Q177895,refractive error,Q470427
228,obo.DOID_11830,myopia,Q168403,refractive error,Q470427
229,obo.DOID_11850,transient refractive change,Q18554196,refractive error,Q470427
230,obo.DOID_12273,anisometropia,Q247978,refractive error,Q470427
231,obo.DOID_9834,hyperopia,Q177254,refractive error,Q470427
232,obo.DOID_0050335,bradyopsia,Q10434599,retinal disease,Q550455
233,obo.DOID_2462,retinal vascular disease,Q12195125,retinal disease,Q550455
235,obo.DOID_3612,retinitis,Q630552,retinal disease,Q550455
236,obo.DOID_0090059,enhanced S-cone syndrome,Q30989221,retinal disease,Q550455
238,obo.DOID_0111677,familial benign flecked retina,Q55781894,retinal disease,Q550455
239,obo.DOID_11086,chorioretinal scar,Q18554003,retinal disease,Q550455
240,obo.DOID_11561,hypertensive retinopathy,Q425811,retinal disease,Q550455
241,obo.DOID_8499,night blindness,Q7758678,retinal disease,Q550455
242,obo.DOID_5327,retinal detachment,Q625164,retinal disease,Q550455
243,obo.DOID_13025,retinopathy of prematurity,Q1423087,retinal disease,Q550455
244,obo.DOID_13401,angioid streaks,Q4763261,retinal disease,Q550455
246,obo.DOID_6929,retinal edema,Q18557405,retinal disease,Q550455
247,obo.DOID_5678,nerve fibre bundle defect,Q18556935,visual pathway disease,Q18554635
248,obo.DOID_7633,macular holes,Q1427032,retinal disease,Q550455
249,obo.DOID_9719,autosomal dominant neovascular inflammatory vitreoretinopathy,Q55345685,retinal disease,Q550455
250,obo.DOID_0050593,primary congenital glaucoma,Q3108582,glaucoma,Q159701
251,obo.DOID_1067,open-angle glaucoma,Q3108586,glaucoma,Q159701
252,obo.DOID_11148,hypersecretion glaucoma,Q18554016,glaucoma,Q159701
253,obo.DOID_11149,aqueous misdirection,Q18554017,glaucoma,Q159701
254,obo.DOID_12571,phacogenic glaucoma,Q18554346,glaucoma,Q159701
255,obo.DOID_13060,traumatic glaucoma,Q18554423,glaucoma,Q159701
256,obo.DOID_9283,borderline glaucoma,Q18558092,glaucoma,Q159701
257,obo.DOID_13550,angle-closure glaucoma,Q18554545,glaucoma,Q159701
258,obo.DOID_1687,neovascular glaucoma,Q7885682,glaucoma,Q159701
259,obo.DOID_9946,steroid-induced glaucoma,Q3771927,glaucoma,Q159701
260,obo.DOID_0090100,ocular albinism with sensorineural deafness,Q50357711,ocular albinism,Q2831905
261,obo.DOID_0050683,Bothnia retinal dystrophy,Q18553397,fundus dystrophy,Q18557956
262,obo.DOID_8500,hereditary retinal dystrophy,Q18557955,fundus dystrophy,Q18557956
263,obo.DOID_11105,fundus albipunctatus,Q16570127,fundus dystrophy,Q18557956
264,obo.DOID_13227,retinal dystrophies primarily involving Bruch's membrane,Q18554471,fundus dystrophy,Q18557956
265,obo.DOID_14251,vitreoretinal dystrophy,Q18554722,fundus dystrophy,Q18557956
266,obo.DOID_14252,dystrophies primarily involving the retinal pigment epithelium,Q18554723,fundus dystrophy,Q18557956
267,obo.DOID_14253,retinal dystrophy in systemic or cerebroretinal lipidoses,Q18554724,fundus dystrophy,Q18557956
268,obo.DOID_0060261,congenital ptosis,Q18966140,ptosis,Q622427
269,obo.DOID_0060282,persistent hyperplastic primary vitreous,Q7170412,vitreous disease,Q18558199
270,obo.DOID_11816,vitreous syneresis,Q18554183,vitreous disease,Q18558199
271,obo.DOID_9723,vitreous abscess,Q18558200,vitreous disease,Q18558199
272,obo.DOID_9726,vitreous detachment,Q379299,vitreous disease,Q18558199
278,obo.DOID_0080611,anterior segment dysgenesis 6,Q55785185,Anterior segment dysgenesis,Q65214555
279,obo.DOID_0080612,anterior segment dysgenesis 7,Q55998736,Anterior segment dysgenesis,Q65214555
280,obo.DOID_0080613,anterior segment dysgenesis 8,Q55785186,Anterior segment dysgenesis,Q65214555
282,obo.DOID_0080634,microphthalmia,Q1557239,microphthalmia,Q1557239
283,obo.DOID_0080635,colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,Q55998547,microphthalmia,Q1557239
287,obo.DOID_0110122,Axenfeld-Rieger syndrome type 3,Q27164456,Axenfeld-Rieger syndrome,Q474994
288,obo.DOID_83,cataract,Q127724,lens disease,Q18553990
289,obo.DOID_0111148,isolated ectopia lentis,Q50349814,lens disease,Q18553990
290,obo.DOID_11364,lens subluxation,Q18554068,lens disease,Q18553990
291,obo.DOID_11367,congenital aphakia,Q18554069,lens disease,Q18553990
292,obo.DOID_8466,retinal degeneration,Q3043268,eye degenerative disease,Q18558225
293,obo.DOID_0111570,snowflake vitreoretinal degeneration,Q55345684,eye degenerative disease,Q18558225
294,obo.DOID_10139,conjunctival degeneration,Q18553789,eye degenerative disease,Q18558225
295,obo.DOID_1237,corneal degeneration,Q18554311,eye degenerative disease,Q18558225
296,obo.DOID_11754,siderosis of eye,Q18554164,eye degenerative disease,Q18558225
297,obo.DOID_11772,leukocoria,Q1862805,eye degenerative disease,Q18558225
298,obo.DOID_11776,blind hypertensive eye,Q18554170,eye degenerative disease,Q18558225
299,obo.DOID_980,choroidal sclerosis,Q18558226,eye degenerative disease,Q18558225
300,obo.DOID_10033,cycloplegia,Q1147596,eye accommodation disease,Q18553766
301,obo.DOID_11177,total internal ophthalmoplegia,Q18554023,eye accommodation disease,Q18553766
302,obo.DOID_11637,accommodative spasm,Q7573981,eye accommodation disease,Q18553766
303,obo.DOID_11638,presbyopia,Q319595,eye accommodation disease,Q18553766
304,obo.DOID_10140,dry eye syndrome,Q18553790,lacrimal apparatus disease,Q18554657
305,obo.DOID_10174,lacrimal passage granuloma,Q18553799,lacrimal apparatus disease,Q18554657
306,obo.DOID_11134,prolapse of lacrimal gland,Q18554014,lacrimal apparatus disease,Q18554657
307,obo.DOID_950,dacryoadenitis,Q1424488,lacrimal apparatus disease,Q18554657
308,obo.DOID_13651,eversion of lacrimal punctum,Q18554569,lacrimal apparatus disease,Q18554657
309,obo.DOID_13653,stenosis of lacrimal punctum,Q18554570,lacrimal apparatus disease,Q18554657
310,obo.DOID_13654,stenosis of lacrimal passage,Q18554571,lacrimal apparatus disease,Q18554657
311,obo.DOID_13655,acquired tear duct stenosis,Q18554572,lacrimal apparatus disease,Q18554657
312,obo.DOID_13757,excessive tearing,Q1347256,lacrimal apparatus disease,Q18554657
313,obo.DOID_13929,lacrimal duct obstruction,Q5797309,lacrimal apparatus disease,Q18554657
314,obo.DOID_1399,primary lacrimal atrophy,Q18554654,lacrimal apparatus disease,Q18554657
315,obo.DOID_1822,secondary lacrimal atrophy,Q18554917,lacrimal apparatus disease,Q18554657
316,obo.DOID_3096,stenosis of lacrimal sac,Q18555286,lacrimal apparatus disease,Q18554657
317,obo.DOID_6970,acute inflammation of lacrimal passage,Q18557424,lacrimal apparatus disease,Q18554657
318,obo.DOID_9935,chronic inflammation of lacrimal passage,Q18558259,lacrimal apparatus disease,Q18554657
320,obo.DOID_10377,ametropic amblyopia,Q16002876,amblyopia,Q207855
321,obo.DOID_10378,disuse amblyopia,Q18553854,amblyopia,Q207855
322,obo.DOID_10989,conjunctival vascular disease,Q18553987,conjunctival disease,Q18556249
323,obo.DOID_6195,conjunctivitis,Q167844,conjunctival disease,Q18556249
324,obo.DOID_11653,conjunctival deposit,Q18554139,conjunctival disease,Q18556249
325,obo.DOID_1248,ocular hyperemia,Q18554326,conjunctival disease,Q18556249
326,obo.DOID_4250,conjunctivochalasis,Q5161181,conjunctival disease,Q18556249
327,obo.DOID_11595,scleral staphyloma,Q18554116,scleral disease,Q18554064
328,obo.DOID_12124,episcleritis periodica fugax,Q18554242,scleral disease,Q18554064
329,obo.DOID_13452,scleritis,Q511000,scleral disease,Q18554064
330,obo.DOID_14230,scleromalacia perforans,Q18554713,scleral disease,Q18554064
331,obo.DOID_728,nodular episcleritis,Q18557538,scleral disease,Q18554064
332,obo.DOID_11518,abnormal pupillary function,Q18554099,pupil disorder,Q18555067
333,obo.DOID_11581,phlyctenulosis,Q7186555,keratoconjunctivitis,Q1623006
334,obo.DOID_12125,neurotrophic keratoconjunctivitis,Q18554243,keratoconjunctivitis,Q1623006
335,obo.DOID_12197,punctate epithelial keratoconjunctivitis,Q1117652,keratoconjunctivitis,Q1623006
336,obo.DOID_13014,Adenoviral keratoconjunctivitis,Q769741,keratoconjunctivitis,Q1623006
337,obo.DOID_9461,exposure keratitis,Q18558134,keratoconjunctivitis,Q1623006
338,obo.DOID_11766,Phthisis bulbi,Q906264,ocular hypotension,Q18557760
339,obo.DOID_12349,primary eye hypotony,Q18554303,ocular hypotension,Q18557760
340,obo.DOID_5691,visual cortex disease,Q18556943,visual pathway disease,Q18554635
341,obo.DOID_11975,Morning glory disc anomaly,Q18070807,visual pathway disease,Q18554635
342,obo.DOID_13295,crater-like holes of optic disc,Q7098795,visual pathway disease,Q18554635
343,obo.DOID_1392,pseudopapilledema,Q18554631,visual pathway disease,Q18554635
344,obo.DOID_1241,luxation of globe,Q18554318,globe disease,Q18554319
345,obo.DOID_14070,vestibular nystagmus,Q18554676,globe disease,Q18554319
346,obo.DOID_14199,posterior dislocation of lens,Q18554708,globe disease,Q18554319
347,obo.DOID_2460,anterior dislocation of lens,Q18555087,globe disease,Q18554319
348,obo.DOID_4692,endophthalmitis,Q1294912,globe disease,Q18554319
349,obo.DOID_1979,focal chorioretinitis,Q18554953,chorioretinitis,Q1402851
350,obo.DOID_12731,pars planitis,Q18554368,chorioretinitis,Q1402851
351,obo.DOID_8787,disseminated chorioretinitis,Q18558014,chorioretinitis,Q1402851
352,obo.DOID_240,iris disease,Q18555070,uveal disease,Q18555950
353,obo.DOID_1417,choroid disease,Q18554701,uveal disease,Q18555950
354,obo.DOID_13141,uveitis,Q280027,uveal disease,Q18555950
355,obo.DOID_13399,color blindness,Q133696,blindness,Q10874
356,obo.DOID_0050433,fatal familial insomnia,Q862872,transmissible spongiform encephalopathy,Q703961
358,obo.DOID_11949,Creutzfeldt-Jakob disease,Q49989,transmissible spongiform encephalopathy,Q703961
359,obo.DOID_3530,chronic wasting disease,Q1087811,transmissible spongiform encephalopathy,Q703961
360,obo.DOID_4249,Gerstmann-Straussler-Scheinker syndrome,Q383228,transmissible spongiform encephalopathy,Q703961
361,obo.DOID_5434,scrapie,Q170102,transmissible spongiform encephalopathy,Q703961
363,obo.DOID_648,kuru,Q274615,transmissible spongiform encephalopathy,Q703961
364,obo.DOID_0050659,biotin-responsive basal ganglia disease,Q864845,basal ganglia disease,Q4866181
365,obo.DOID_0060230,basal ganglia calcification,Q1947307,basal ganglia disease,Q4866181
366,obo.DOID_0050669,spastic cerebral palsy,Q7573995,cerebral palsy,Q210427
367,obo.DOID_0050670,ataxic cerebral palsy,Q4812914,cerebral palsy,Q210427
368,obo.DOID_0050672,dyskinetic cerebral palsy,Q4813631,cerebral palsy,Q210427
369,obo.DOID_0050673,mixed cerebral palsy,Q16934832,cerebral palsy,Q210427
370,obo.DOID_0050701,electroclinical syndrome,Q18553411,epilepsy,Q41571
371,obo.DOID_1827,juvenile myoclonic epilepsy,Q543517,epilepsy,Q41571
372,obo.DOID_0060281,photosensitive epilepsy,Q1150299,epilepsy,Q41571
373,obo.DOID_11832,visual epilepsy,Q18554191,epilepsy,Q41571
374,obo.DOID_2234,focal epilepsy,Q7140388,epilepsy,Q41571
375,obo.DOID_1824,status epilepticus,Q980709,epilepsy,Q41571
376,obo.DOID_2544,extratemporal epilepsy,Q18555113,epilepsy,Q41571
378,obo.DOID_2785,Dandy-Walker syndrome,Q733493,cerebellar disease,Q564123
379,obo.DOID_0090132,complex cortical dysplasia with other brain malformations 7,Q30988929,complex cortical dysplasia with other brain malformations,Q30989519
385,obo.DOID_0090138,complex cortical dysplasia with other brain malformations 4,Q30989669,complex cortical dysplasia with other brain malformations,Q30989519
